(10080, [0, 0, 0, 1, 12, 3])
(10080, [0, 0, 0, 1, 12, 4])
(10080, [0, 0, 0, 1, 12, 5])
(10080, [0, 0, 0, 1, 12, 6])
(10080, [0, 0, 0, 1, 12, 7])
(10080, [0, 0, 0, 1, 12, 9])
(10080, [0, 0, 0, 1, 12, 11])
(10080, [0, 0, 0, 1, 12, 13])
(10080, [0, 0, 0, 1, 12, 16])
(10080, [0, 0, 0, 1, 12, 18])
(10080, [0, 0, 0, 1, 12, 20])
(10080, [0, 0, 0, 1, 12, 21])
(10080, [0, 0, 0, 1, 12, 38])
(10080, [0, 0, 0, 1, 13, 15])
(10080, [0, 0, 0, 1, 13, 19])
(10080, [0, 0, 0, 1, 13, 23])
(10080, [0, 0, 0, 1, 13, 25])
(10080, [0, 0, 0, 1, 13, 28])
(10080, [0, 0, 0, 1, 13, 32])
(10080, [0, 0, 0, 1, 13, 33])
(10080, [0, 0, 0, 1, 13, 34])
(10080, [0, 0, 0, 1, 13, 35])
(10080, [0, 0, 0, 1, 13, 36])
(10080, [0, 0, 0, 1, 13, 37])
(10080, [0, 0, 0, 1, 13, 39])
(10080, [0, 0, 0, 1, 18, 10])
(10080, [0, 0, 0, 1, 18, 24])
(10080, [0, 0, 0, 1, 18, 27])
(10080, [0, 0, 0, 1, 18, 31])
(10080, [0, 0, 0, 1, 18, 32])
(10080, [0, 0, 0, 1, 18, 33])
(10080, [0, 0, 0, 1, 18, 34])
(10080, [0, 0, 0, 1, 18, 35])
(10080, [0, 0, 0, 1, 18, 36])
(10080, [0, 0, 0, 1, 18, 38])
(10080, [0, 0, 0, 1, 20, 12])
(10080, [0, 0, 0, 1, 20, 27])
(10080, [0, 0, 0, 1, 20, 31])
(10080, [0, 0, 0, 1, 20, 32])
(10080, [0, 0, 0, 1, 20, 33])
(10080, [0, 0, 0, 1, 20, 34])
(10080, [0, 0, 0, 1, 20, 35])
(10080, [0, 0, 0, 1, 20, 36])
(10080, [0, 0, 0, 1, 20, 38])
(10080, [0, 0, 0, 1, 22, 5])
(10080, [0, 0, 0, 1, 22, 29])
(10080, [0, 0, 0, 1, 22, 33])
(10080, [0, 0, 0, 1, 22, 34])
(10080, [0, 0, 0, 1, 22, 35])
(10080, [0, 0, 0, 1, 22, 36])
(10080, [0, 0, 0, 1, 22, 37])
(10080, [0, 0, 0, 1, 22, 40])
(10080, [0, 0, 0, 1, 23, 1])
(10080, [0, 0, 0, 1, 23, 2])
(10080, [0, 0, 0, 1, 23, 4])
(10080, [0, 0, 0, 1, 23, 8])
(10080, [0, 0, 0, 1, 23, 9])
(10080, [0, 0, 0, 1, 23, 11])
(10080, [0, 0, 0, 1, 23, 12])
(10080, [0, 0, 0, 1, 23, 14])
(10080, [0, 0, 0, 1, 23, 32])
(10080, [0, 0, 0, 1, 24, 1])
